Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
4/26/18,2635,2931,1.4,2,1347,93,0,0,566
4/27/18,3649,9971,4.7,19,1158,219,46,17,1752
4/28/18,3379,3521,1.7,2,702,155,22,11,1124
4/29/18,2851,1639,0.8,0,891,122,0,0,602
4/30/18,2825,1323,0.6,0,880,104,0,0,540
5/1/18,3292,2581,1.2,0,919,167,13,2,1068
5/2/18,2660,1372,0.7,0,927,90,0,0,419
5/3/18,3121,2232,1.1,0,876,157,16,0,1006
5/4/18,2522,904,0.4,1,1012,61,0,0,269
5/5/18,2551,833,0.4,0,969,68,0,0,326
5/6/18,2771,1383,0.7,0,976,103,0,0,506
5/7/18,2524,952,0.5,0,907,63,0,0,283
5/8/18,2591,1187,0.6,2,1221,53,17,2,410
5/9/18,2153,21,0.0,0,1438,2,0,0,8
5/10/18,3081,1364,0.6,0,1295,136,5,4,924
5/11/18,2950,2771,1.3,1,947,130,0,0,727
5/12/18,3318,4125,2.0,2,756,184,4,7,1113
5/13/18,2572,1689,0.8,0,895,84,0,0,394
5/14/18,2966,3710,1.8,0,959,119,19,0,794
5/15/18,3152,4313,2.0,0,767,183,9,0,1011
5/16/18,3497,5882,2.8,1,825,234,5,6,1396
5/17/18,3066,4080,1.9,4,867,158,0,0,897
5/18/18,4376,13958,6.6,7,682,178,67,92,2549
5/19/18,4112,14917,7.0,7,646,193,34,89,2228
5/20/18,3098,4986,2.4,3,795,174,5,6,978
5/21/18,3009,3989,1.9,3,727,182,0,0,932
5/22/18,3581,4680,2.2,1,625,209,33,2,1460
5/23/18,3772,6889,3.3,0,921,241,42,14,1765
5/24/18,2756,3470,1.6,0,804,143,0,0,723
5/25/18,3155,5389,2.5,1,821,145,32,13,1127
5/26/18,3121,4092,1.9,2,1258,172,7,3,999
5/27/18,3407,5347,2.5,2,825,209,21,6,1260
5/28/18,3213,3875,1.8,2,668,164,0,0,922
5/29/18,3466,6448,3.0,0,899,254,9,0,1427
5/30/18,3324,5519,2.6,1,1201,217,19,3,1264
5/31/18,3420,5879,2.8,3,735,230,5,6,1349
6/1/18,3513,6916,3.3,0,690,279,10,2,1527
6/2/18,2742,2946,1.4,3,717,171,0,0,752
6/3/18,3765,6815,3.2,2,545,201,42,29,1834
6/4/18,3585,6162,2.9,6,1171,225,36,8,1530
6/5/18,3189,4486,2.1,4,823,177,10,0,1022
6/6/18,2145,0,0.0,0,1440,0,0,0,0
6/7/18,2146,0,0.0,0,1440,0,0,0,0
6/8/18,2465,1929,0.9,1,1361,79,0,0,389
6/9/18,2859,3130,1.5,7,835,127,24,1,780
6/10/18,3432,7029,3.3,7,728,230,35,9,1549
6/11/18,2146,0,0.0,0,1440,0,0,0,0
6/12/18,3352,4535,2.1,1,1224,186,20,10,1241
6/13/18,3335,6344,3.0,4,1186,241,5,8,1333
6/14/18,3533,8316,3.9,10,591,287,22,1,1684
6/15/18,3422,7249,3.4,14,693,275,11,8,1586
6/16/18,3313,7806,3.7,15,749,237,18,7,1422
6/17/18,2940,3544,1.7,6,862,132,9,1,791
6/18/18,3385,6189,2.9,1,744,224,5,6,1298
6/19/18,3560,6055,2.9,2,686,246,15,4,1500
6/20/18,3256,5665,2.7,2,722,219,0,0,1211
6/21/18,3430,6480,3.1,4,654,235,18,3,1388
6/22/18,3290,5805,2.7,3,1179,235,2,9,1278
6/23/18,3134,2996,1.4,2,801,130,10,18,1079
6/24/18,3355,5209,2.5,2,1121,243,0,10,1450
6/25/18,3127,3810,1.8,1,768,183,8,0,1032
6/26/18,2144,0,0.0,0,1440,0,0,0,0
6/27/18,2145,0,0.0,0,1440,0,0,0,0
6/28/18,2145,0,0.0,0,1440,0,0,0,0
6/29/18,2180,0,0.0,0,1437,3,0,0,39
6/30/18,2145,0,0.0,0,1440,0,0,0,0
7/1/18,3090,4714,2.2,4,1005,232,0,0,1125
7/2/18,2204,172,0.1,0,1024,12,0,0,67
7/3/18,2144,0,0.0,0,1440,0,0,0,0
7/4/18,2183,0,0.0,0,1438,2,0,0,42
7/5/18,2153,0,0.0,0,1439,1,0,0,10
7/6/18,2144,0,0.0,0,1440,0,0,0,0
7/7/18,3275,6775,3.2,4,1050,133,52,14,1289
7/8/18,3149,5221,2.5,5,821,215,11,3,1196
7/9/18,3476,6694,3.2,6,673,240,9,11,1457
7/10/18,3562,7253,3.4,5,790,228,4,21,1530
7/11/18,3553,6997,3.3,7,701,214,21,14,1495
7/12/18,3750,7520,3.6,1,576,294,0,0,1787
7/13/18,3641,7432,3.5,1,798,206,32,27,1627
7/14/18,3622,11239,5.3,10,709,203,39,35,1770
7/15/18,3315,6077,2.9,10,654,169,29,20,1354
7/16/18,4037,10551,5.0,4,714,204,51,47,2084
7/17/18,3760,8377,4.0,12,646,258,8,25,1803
7/18/18,3509,7504,3.5,4,754,222,20,3,1502
7/19/18,3993,9484,4.5,4,1116,243,57,24,2093
7/20/18,3110,6680,3.2,3,1262,136,28,14,1172
7/21/18,3983,12279,5.8,10,569,184,37,83,2162
7/22/18,3883,13418,6.3,19,839,210,16,69,2015
7/23/18,3553,9203,4.3,5,748,204,23,31,1597
7/24/18,3510,9215,4.4,6,1203,193,15,29,1551
7/25/18,3069,5666,2.7,8,1253,176,4,7,1062
7/26/18,3864,12467,5.9,10,704,214,11,58,1962
7/27/18,4618,16306,7.7,18,634,244,29,111,2832
7/28/18,3358,8073,3.8,5,674,236,19,9,1481
7/29/18,3316,6450,3.0,18,1211,192,17,20,1382
7/30/18,2212,357,0.2,1,947,17,0,0,85
7/31/18,3800,8295,3.9,4,688,237,10,22,1757
8/1/18,3987,12157,5.7,7,786,228,26,45,2079
8/2/18,3968,9629,4.5,4,924,186,43,51,2008
8/3/18,4762,18215,8.6,12,607,247,17,114,2958
8/4/18,4376,17126,8.1,78,585,206,17,124,2584
8/5/18,4818,18565,8.8,29,561,272,31,113,3106
8/6/18,3150,6185,2.9,7,775,210,0,0,1121
8/7/18,3152,6558,3.1,6,777,223,0,0,1185
8/8/18,3341,7772,3.7,12,724,220,13,9,1375
8/9/18,4339,15635,7.4,13,1061,285,17,77,2566
8/10/18,3667,7470,3.5,2,641,293,9,14,1730
8/11/18,4392,17519,8.3,21,448,260,20,94,2616
8/12/18,4011,11193,5.3,6,585,257,21,57,2224
8/13/18,4196,17014,8.0,17,771,222,25,98,2424
8/14/18,3454,8448,4.0,11,719,264,9,12,1598
8/15/18,4079,12259,5.8,8,704,213,23,56,2158
8/16/18,3490,8039,3.8,18,877,311,7,6,1678
8/17/18,4610,16482,7.8,11,608,198,9,125,2686
8/18/18,2921,4657,2.2,8,551,198,0,0,972
8/19/18,4381,13461,6.4,16,796,243,30,83,2595
8/20/18,4041,11763,5.6,3,624,239,1,64,2190
