Date,Steps,Distance,calories_burned,sedentary_mins,lightly_active_mins,fairly_active_mins,very_active_mins,activity_calories,active_total,stride
2018-04-27,9971.0,4.7,3649,1158,219,46,17,1752,282,0.0004713669641961689
2018-04-28,3521.0,1.7,3379,702,155,22,11,1124,188,0.0004828173814257313
2018-04-29,1639.0,0.8,2851,891,122,0,0,602,122,0.0004881025015253203
2018-04-30,1323.0,0.6,2825,880,104,0,0,540,104,0.0004535147392290249
2018-05-01,2581.0,1.2,3292,919,167,13,2,1068,182,0.0004649360712901976
2018-05-02,1372.0,0.7,2660,927,90,0,0,419,90,0.000510204081632653
2018-05-03,2232.0,1.1,3121,876,157,16,0,1006,173,0.000492831541218638
2018-05-04,904.0,0.4,2522,1012,61,0,0,269,61,0.00044247787610619474
2018-05-05,833.0,0.4,2551,969,68,0,0,326,68,0.0004801920768307323
2018-05-06,1383.0,0.7,2771,976,103,0,0,506,103,0.0005061460592913954
2018-05-07,952.0,0.5,2524,907,63,0,0,283,63,0.0005252100840336134
2018-05-08,1187.0,0.6,2591,1221,53,17,2,410,72,0.0005054759898904802
2018-05-09,21.0,0.7,2153,1438,2,0,0,8,2,0.0
2018-05-10,1364.0,0.6,3081,1295,136,5,4,924,145,0.0004398826979472141
2018-05-11,2771.0,1.3,2950,947,130,0,0,727,130,0.0004691447130999639
2018-05-12,4125.0,2.0,3318,756,184,4,7,1113,195,0.00048484848484848484
2018-05-13,1689.0,0.8,2572,895,84,0,0,394,84,0.0004736530491415039
2018-05-14,3710.0,1.8,2966,959,119,19,0,794,138,0.0004851752021563342
2018-05-15,4313.0,2.0,3152,767,183,9,0,1011,192,0.0004637143519591931
2018-05-16,5882.0,2.8,3497,825,234,5,6,1396,245,0.0004760285617137028
2018-05-17,4080.0,1.9,3066,867,158,0,0,897,158,0.0004656862745098039
2018-05-18,13958.0,6.6,4376,682,178,67,92,2549,337,0.000472847112766872
2018-05-19,14917.0,7.0,4112,646,193,34,89,2228,316,0.0004692632566870014
2018-05-20,4986.0,2.4,3098,795,174,5,6,978,185,0.0004813477737665463
2018-05-21,3989.0,1.9,3009,727,182,0,0,932,182,0.0004763098520932564
2018-05-22,4680.0,2.2,3581,625,209,33,2,1460,244,0.00047008547008547014
2018-05-23,6889.0,3.3,3772,921,241,42,14,1765,297,0.0004790245318623893
2018-05-24,3470.0,1.6,2756,804,143,0,0,723,143,0.0004610951008645533
2018-05-25,5389.0,2.5,3155,821,145,32,13,1127,190,0.00046390796066060494
2018-05-26,4092.0,1.9,3121,1258,172,7,3,999,182,0.0004643206256109482
2018-05-27,5347.0,2.5,3407,825,209,21,6,1260,236,0.00046755189826070694
2018-05-28,3875.0,1.8,3213,668,164,0,0,922,164,0.00046451612903225807
2018-05-29,6448.0,3.0,3466,899,254,9,0,1427,263,0.0004652605459057072
2018-05-30,5519.0,2.6,3324,1201,217,19,3,1264,239,0.00047109983692697954
2018-05-31,5879.0,2.8,3420,735,230,5,6,1349,241,0.0004762714747406021
2018-06-01,6916.0,3.3,3513,690,279,10,2,1527,291,0.00047715442452284557
2018-06-02,2946.0,1.4,2742,717,171,0,0,752,171,0.00047522063815342837
2018-06-03,6815.0,3.2,3765,545,201,42,29,1834,272,0.0004695524578136464
2018-06-04,6162.0,2.9,3585,1171,225,36,8,1530,269,0.0004706264199935086
2018-06-05,4486.0,2.1,3189,823,177,10,0,1022,187,0.0004681230494872938
2018-06-06,5389.0,2.5,2145,1440,0,0,0,0,0,0.0
2018-06-07,5454.0,2.55,2146,1440,0,0,0,0,0,0.0
2018-06-08,1929.0,0.9,2465,1361,79,0,0,389,79,0.00046656298600311044
2018-06-09,3130.0,1.5,2859,835,127,24,1,780,152,0.0004792332268370607
2018-06-10,7029.0,3.3,3432,728,230,35,9,1549,274,0.00046948356807511736
2018-06-11,5879.0,2.8,2146,1440,0,0,0,0,0,0.0
2018-06-12,4535.0,2.1,3352,1224,186,20,10,1241,216,0.0004630650496141125
2018-06-13,6344.0,3.0,3335,1186,241,5,8,1333,254,0.0004728877679697352
2018-06-14,8316.0,3.9,3533,591,287,22,1,1684,310,0.000468975468975469
2018-06-15,7249.0,3.4,3422,693,275,11,8,1586,294,0.000469030211063595
2018-06-16,7806.0,3.7,3313,749,237,18,7,1422,262,0.00047399436331027416
2018-06-17,3544.0,1.7,2940,862,132,9,1,791,142,0.0004796839729119639
2018-06-18,6189.0,2.9,3385,744,224,5,6,1298,235,0.0004685732751656164
2018-06-19,6055.0,2.9,3560,686,246,15,4,1500,265,0.0004789430222956234
2018-06-20,5665.0,2.7,3256,722,219,0,0,1211,219,0.0004766107678729038
2018-06-21,6480.0,3.1,3430,654,235,18,3,1388,256,0.0004783950617283951
2018-06-22,5805.0,2.7,3290,1179,235,2,9,1278,246,0.00046511627906976747
2018-06-23,2996.0,1.4,3134,801,130,10,18,1079,158,0.0004672897196261682
2018-06-24,5209.0,2.5,3355,1121,243,0,10,1450,253,0.0004799385678633135
2018-06-25,3810.0,1.8,3127,768,183,8,0,1032,191,0.00047244094488188977
2018-06-26,6055.0,2.9,2144,1440,0,0,0,0,0,0.0
2018-06-27,5930.0,2.8,2145,1440,0,0,0,0,0,0.0
2018-06-28,5805.0,2.7,2145,1440,0,0,0,0,0,0.0
2018-06-29,5735.0,2.7,2180,1437,3,0,0,39,3,0.0
2018-06-30,5665.0,2.7,2145,1440,0,0,0,0,0,0.0
2018-07-01,4714.0,2.2,3090,1005,232,0,0,1125,232,0.00046669495120916425
2018-07-02,172.0,0.1,2204,1024,12,0,0,67,12,0.0005813953488372093
2018-07-03,4961.5,2.35,2144,1440,0,0,0,0,0,0.0
2018-07-04,4714.0,2.2,2183,1438,2,0,0,42,2,0.0
2018-07-05,4262.0,2.0,2153,1439,1,0,0,10,1,0.0
2018-07-06,3810.0,1.8,2144,1440,0,0,0,0,0,0.0
2018-07-07,6775.0,3.2,3275,1050,133,52,14,1289,199,0.0004723247232472325
2018-07-08,5221.0,2.5,3149,821,215,11,3,1196,229,0.0004788354721317755
2018-07-09,6694.0,3.2,3476,673,240,9,11,1457,260,0.0004780400358530027
2018-07-10,7253.0,3.4,3562,790,228,4,21,1530,253,0.00046877154280987175
2018-07-11,6997.0,3.3,3553,701,214,21,14,1495,249,0.0004716306988709447
2018-07-12,7520.0,3.6,3750,576,294,0,0,1787,294,0.0004787234042553192
2018-07-13,7432.0,3.5,3641,798,206,32,27,1627,265,0.00047093649085037676
2018-07-14,11239.0,5.3,3622,709,203,39,35,1770,277,0.0004715722039327342
2018-07-15,6077.0,2.9,3315,654,169,29,20,1354,218,0.00047720914925127527
2018-07-16,10551.0,5.0,4037,714,204,51,47,2084,302,0.0004738887309259786
2018-07-17,8377.0,4.0,3760,646,258,8,25,1803,291,0.0004774979109466396
2018-07-18,7504.0,3.5,3509,754,222,20,3,1502,245,0.0004664179104477612
2018-07-19,9484.0,4.5,3993,1116,243,57,24,2093,324,0.00047448334036271614
2018-07-20,6680.0,3.2,3110,1262,136,28,14,1172,178,0.0004790419161676647
2018-07-21,12279.0,5.8,3983,569,184,37,83,2162,304,0.00047235116866194317
2018-07-22,13418.0,6.3,3883,839,210,16,69,2015,295,0.00046951855716202115
2018-07-23,9203.0,4.3,3553,748,204,23,31,1597,258,0.0004672389438226665
2018-07-24,9215.0,4.4,3510,1203,193,15,29,1551,237,0.0004774823657080847
2018-07-25,5666.0,2.7,3069,1253,176,4,7,1062,187,0.0004765266501941405
2018-07-26,12467.0,5.9,3864,704,214,11,58,1962,283,0.0004732493783588674
2018-07-27,16306.0,7.7,4618,634,244,29,111,2832,384,0.0004722188151600638
2018-07-28,8073.0,3.8,3358,674,236,19,9,1481,264,0.00047070481853090545
2018-07-29,6450.0,3.0,3316,1211,192,17,20,1382,229,0.00046511627906976747
2018-07-30,357.0,0.2,2212,947,17,0,0,85,17,0.0005602240896358544
2018-07-31,8295.0,3.9,3800,688,237,10,22,1757,269,0.0004701627486437613
2018-08-01,12157.0,5.7,3987,786,228,26,45,2079,299,0.00046886567409722797
2018-08-02,9629.0,4.5,3968,924,186,43,51,2008,280,0.0004673382490393603
2018-08-03,18215.0,8.6,4762,607,247,17,114,2958,378,0.00047213834751578366
2018-08-04,17126.0,8.1,4376,585,206,17,124,2584,347,0.0004729650823309588
2018-08-05,18565.0,8.8,4818,561,272,31,113,3106,416,0.0004740102343118772
2018-08-06,6185.0,2.9,3150,775,210,0,0,1121,210,0.0004688763136620857
2018-08-07,6558.0,3.1,3152,777,223,0,0,1185,223,0.0004727050930161635
2018-08-08,7772.0,3.7,3341,724,220,13,9,1375,242,0.0004760679361811632
2018-08-09,15635.0,7.4,4339,1061,285,17,77,2566,379,0.000473297089862488
2018-08-10,7470.0,3.5,3667,641,293,9,14,1730,316,0.0004685408299866131
2018-08-11,17519.0,8.3,4392,448,260,20,94,2616,374,0.00047377133398025003
2018-08-12,11193.0,5.3,4011,585,257,21,57,2224,335,0.0004735102296077906
2018-08-13,17014.0,8.0,4196,771,222,25,98,2424,345,0.0004702010109321735
2018-08-14,8448.0,4.0,3454,719,264,9,12,1598,285,0.0004734848484848485
2018-08-15,12259.0,5.8,4079,704,213,23,56,2158,292,0.00047312178807406804
2018-08-16,8039.0,3.8,3490,877,311,7,6,1678,324,0.0004726956089065804
2018-08-17,16482.0,7.8,4610,608,198,9,125,2686,332,0.0004732435384055333
2018-08-18,4657.0,2.2,2921,551,198,0,0,972,198,0.0004724071290530385
2018-08-19,13461.0,6.4,4381,796,243,30,83,2595,356,0.00047544758933214476
2018-08-20,11763.0,5.6,4041,624,239,1,64,2190,304,0.0004760690300093513
2018-08-21,6274.0,3.0,3393,689,212,6,8,1319,226,0.0004781638508128785
2018-08-22,8678.0,4.1,3811,845,200,13,48,1852,261,0.000472459091956672
2018-08-23,14696.0,6.9,4232,653,210,18,79,2261,307,0.0004695155144256941
2018-08-24,68.0,5.6,2168,994,7,0,0,32,7,0.0
2018-08-25,4054.0,1.9,3719,1190,204,23,23,1731,250,0.00046867291563887516
2018-08-26,207.0,0.1,799,28,13,0,0,51,13,0.00048309178743961357
2018-08-27,15714.0,7.5,4458,608,259,9,96,2692,364,0.0004772814051164567
2018-08-28,12569.0,5.9,3757,717,218,8,58,1874,284,0.0004694088630758215
2018-08-29,8559.0,4.0,3222,853,166,4,35,1266,205,0.00046734431592475756
2018-08-30,6682.0,3.2,3253,793,234,14,9,1389,257,0.0004788985333732416
2018-08-31,15415.0,7.5,4415,744,211,8,104,2640,323,0.00048653908530651963
2018-09-01,3952.0,1.9,3020,798,133,13,5,852,151,0.00048076923076923074
2018-09-02,3181.0,1.5,2918,872,163,0,0,811,163,0.00047154982709839675
2018-09-03,4743.0,2.2,2936,754,155,8,15,915,178,0.00046384145055871815
2018-09-04,7343.0,3.5,3201,631,269,6,3,1374,278,0.00047664442326024784
2018-09-05,7943.0,3.9,3395,1040,184,16,33,1514,233,0.0004909983633387888
2018-09-06,5641.0,2.7,2907,746,195,0,0,983,195,0.0004786385392660876
2018-09-07,9591.0,4.5,3829,683,242,20,43,1922,305,0.00046918986549890525
2018-09-08,13798.0,6.7,4031,634,237,16,76,2230,329,0.00048557761994491957
2018-09-09,9360.0,4.4,3682,734,234,22,46,1872,302,0.00047008547008547014
2018-09-10,5951.0,2.8,2977,835,158,10,4,1002,172,0.00047050915812468487
2018-09-11,4446.0,2.1,2824,781,154,6,4,829,164,0.0004723346828609987
2018-09-12,7512.0,3.5,3047,676,179,17,13,1175,209,0.0004659211927582535
2018-09-13,6480.0,3.1,3044,885,190,1,13,1118,204,0.0004783950617283951
2018-09-14,7021.0,3.3,3080,871,179,18,7,1125,204,0.00047001851588092863
2018-09-15,9445.0,4.5,3180,849,134,23,51,1287,208,0.0004764425622022234
2018-09-16,9015.0,4.3,3344,586,184,30,38,1494,252,0.00047698280643372154
2018-09-17,5628.0,2.7,2952,990,134,24,13,985,171,0.0004797441364605544
2018-09-18,6247.0,3.0,2997,866,196,1,11,1074,208,0.00048023051064510964
2018-09-19,7034.0,3.3,3044,768,218,2,8,1195,228,0.0004691498436167188
2018-09-20,9920.0,4.7,3517,844,156,10,56,1565,222,0.00047379032258064517
2018-09-21,8185.0,3.9,3105,797,163,6,26,1172,195,0.00047648136835675017
2018-09-22,16219.0,7.7,5199,581,319,78,98,3596,495,0.0004747518342684506
2018-09-23,5807.0,2.7,2787,773,46,7,46,745,99,0.00046495608748062684
2018-09-24,4500.0,2.1,2771,841,167,0,0,822,167,0.00046666666666666666
2018-09-25,5219.0,2.5,2820,767,142,2,11,853,155,0.00047901896915117836
2018-09-26,10466.0,4.9,3613,707,163,3,63,1677,229,0.00046818268679533733
2018-09-27,9751.0,4.6,3348,849,167,10,42,1427,219,0.0004717464875397395
2018-09-28,4531.0,2.1,2970,775,235,0,0,1068,235,0.00046347384683292876
2018-09-29,7043.0,3.3,3043,788,218,4,5,1220,227,0.00046855033366463155
2018-09-30,15991.0,7.5,4184,652,254,45,72,2504,371,0.0004690138202739041
2018-10-01,8307.0,3.9,3180,813,201,5,24,1330,230,0.00046948356807511736
2018-10-02,8702.0,4.1,3162,872,141,11,34,1205,186,0.00047115605607906227
2018-10-03,10729.0,5.1,3584,773,186,7,69,1715,262,0.0004753471898592599
